app_name,price,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,Year
Klang,14.99,412660,Tinimations,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Dog Sled Saga,7.99,286240,Trichotomy,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2016.0
CHEXS,7.99,511810,Turnopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016.0
Pavilion,9.99,417150,Visiontrick Media,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
VilleTown Soundtrack,1.99,531940,Laugical Games,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016.0
Vernon's Legacy,11.99,367010,TripleBrick,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Children of a Dead Earth,24.99,476530,"Q Switched Productions, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2016.0
Hyborian Conqueror Collection,59.99,530690,Funcom,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2016.0
Space Incident,3.99,521940,Vogd3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Cranium Conundrum,5.99,527790,Falling Star Games,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
VilleTown,4.99,527250,Laugical Games,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016.0
8infinity,0.99,526540,ENTERi,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Sisyphus Reborn - Collector's Edition,0.99,530140,Myshkin Entertainment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
TANE DLC: Laadgs Transporter,8.99,535540,N3V Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0
Legends of Time,4.99,514400,AstroBear Games,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016.0
Battles of Norghan,9.99,531110,Mitorah Games,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016.0
Battles of Norghan Gold Version,4.99,534830,Mitorah Games,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016.0
EARTHLOCK: Festival of Magic,19.99,258030,Snowcastle Games,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016.0
Astroflux,0.0,489560,Fula Fisken,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2016.0
EARTHLOCK: Festival of Magic OST,7.99,533750,Snowcastle Games,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016.0
Measurement Problem,9.99,534960,Alchemist Studio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Lichtspeer,9.99,434740,Lichthund,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Sig.NULL,1.99,501930,SaintHeiser,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Lichtspeer Soundtrack,4.99,529430,Lichthund,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Trick & Treat - The Art Book,2.99,520360,Rabbiton,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Pixel Puzzles Ultimate - Puzzle Pack: Reptile,1.99,535720,DL Softworks,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2016.0
Pixel Puzzles Ultimate - Puzzle Pack: Jigsaw,0.99,524420,DL Softworks,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2016.0
Clustertruck OST,4.99,529050,"Landfall,Karl Flodin",0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2016.0
Clustertruck,14.99,397950,Landfall,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2016.0
World of Guns:Texture Pack 2,4.99,535130,Noble Empire Corp.,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Riding Club Championships,0.0,509420,Artplant,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2016.0
Where's My What?,4.99,531860,EnsenaSoft,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Patterna Soundtrack,0.0,534590,"Sebastian Schöner,Alex Cottrell",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Killing Time at Lightspeed: Enhanced Edition Original Soundtrack,3.99,516370,Gritfish,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Bee Gees Song Pack,2.99,535730,Musopia,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Blake Shelton Song Pack,2.99,535731,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Bob Marley & the Wailers Song Pack,4.99,535732,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Security Hole,9.99,503460,AnRaEl,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Bro Country Song Pack,7.99,535733,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Capital Cities Song Pack,2.99,535734,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Miley Cyrus Song Pack,4.99,535738,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Magic! Song Pack,2.99,535736,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - One Direction I Song Pack,7.99,535739,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - OneRepublic Song Pack,4.99,535740,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
TS Marketplace: New York – New Haven Scenario Pack 01 Add-On,9.99,376967,High Iron Simulations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Maroon 5 Song Pack,7.99,535737,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - U2 Song Pack,4.99,535741,Musopia,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
SHOCK TROOPERS 2nd Squad,7.99,465870,"SNK CORPORATION,DotEmu",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
Homefront®: The Revolution - The Voice of Freedom,5.99,500270,Dambuster Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
FSX Steam Edition: Night Environment: New York Add-On,24.99,494527,Chris Bell - Creative Design Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0
Hacker Series,0.99,536510,exosyphen studios,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016.0
Just Hero Soundtrack,0.99,528290,Anatoliy Loginovskikh,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Herolike,7.99,409040,Games Hut,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016.0
Spa Mania 2,6.99,527930,Blue Lizard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0
Anykey Simulator,2.99,513530,RiDeLy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Guardian's Oath,1.99,531890,Nodamex,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016.0
WildStar: Jumpstart Pack,8.99,522500,Carbine Studios,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2016.0
Existentia - Music package,0.0,537190,SmartHart Games,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Bloody Walls,0.0,531960,L. Stotch,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Hardware Engineering,5.99,525610,Pb Studios,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
TANE DLC: DBuz 747 Passenger Cars,8.99,536580,N3V Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0
Particle Fleet: Emergence,14.99,422900,Knuckle Cracker,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016.0
EM: Shader Attack,1.99,527490,Life Jumb DT,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
"Deus Ex Machina, Game of the Year, 30th Anniversary Collector’s Edition",4.99,508910,"Potassium Frog Limited,Automata Source",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Slightly Magic - 8bit Legacy Edition,5.99,476000,Colin Jones &amp; The Potassium Frog,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Deus Ex Machina - The Artwork,0.0,521962,"Potassium Frog Limited,Automata Source",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Deus Ex Machina - The Soundtrack,4.99,521960,"Potassium Frog Limited,Automata Source",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Deus Ex Machina - The Best Game You Never Played in Your Life - pdf,3.99,521961,"Potassium Frog Limited,Automata Source",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Slightly Magic - Desktop Wallpapers,0.0,521121,Colin Jones &amp; The Potassium Frog,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Deus Ex Machina 2 - The Soundtrack,4.99,524450,"Automata Source,Quirkafleeg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
The Making of Slightly Magic Book - pdf,4.99,520580,Colin Jones &amp; The Potassium Frog,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
GRAVEN The Purple Moon Prophecy,9.99,467490,Orchid Games,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Slightly Magic - Music Soundtrack,3.99,521120,Colin Jones &amp; The Potassium Frog,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Microbits K,0.99,533220,André Bertaglia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016.0
Honey Rose: Underdog Fighter Extraordinaire,0.0,523680,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - Patron Tier,19.99,527406,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - Symbolic Tier,0.99,527400,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - Sale Tier,1.99,527401,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - Impulse Tier,7.99,527403,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - Humble Tier,4.99,527402,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - Above and Beyond Tier,24.99,527407,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - Affordable Tier,9.99,527404,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Honey Rose - 2016 Standard Tier,14.99,527405,Pehesse,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Sweet Candy Mahjong,4.99,532600,EnsenaSoft,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
StreetCraft,4.99,463540,"Lambda,恶魔橘子",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Armies of Riddle CCG Fantasy Battle Card Game,4.99,527040,Game Scorpion Inc.,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2014.0
ChuSingura46+1 S - Chapter 4 & 5,17.99,512100,"インレ,Inre",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Shinedown Song Pack,2.99,537160,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Defense of Egypt: Cleopatra Mission,6.99,534010,First Games Interactive,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
FourChords Guitar Karaoke - You Me At Six Song Pack,2.99,537161,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Keith Urban Song Pack,2.99,537265,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Imagine Dragons Song Pack,4.99,537264,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
NEON Ultra,3.99,528270,Pixelbark Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
Dungetris - Soundtrack!,1.99,537250,EfimovMax,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016.0
Friday Night Bullet Arena,9.99,513840,Red Nexus Games Inc.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
VEGAS Pro 14 Edit Steam Edition,199.0,528200,MAGIX Software GmbH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016.0
Zombie Defense,0.0,533780,Home Net Games,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
MinosMaze - The Minotaur's Labyrinth: Original Soundtrack,1.99,533230,RuVe Game Studio,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Salmon Ninja,8.99,524050,Krax Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
EggK47,0.99,533850,Lorag Games,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Florida Georgia Line Song Pack,2.99,537263,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Fall of Freya (Alpha 1),19.99,503700,GOTY LLC,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016.0
FourChords Guitar Karaoke - Roy Orbison Song Pack,2.99,537267,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
VoxreD,0.99,533640,Atriagames,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Adele Song Pack,4.99,537261,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Dual Core - Soundtrack,3.99,537900,Gray Fin Studios,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016.0
True or False - Owl Rescue,0.0,533870,Vladimir Maslov,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
Daily Chthonicle: Editor's Edition,3.99,490980,Sinister Systems,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2016.0
The Seven Years War (1756-1763) - Battle Pack,4.99,485840,Oliver Keppelmüller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016.0
Recursed,7.99,497780,Portponky,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
AquaNimble,9.99,498380,"DrinkingNails, LLC",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
ORION: Prelude (ULTIMATE EDITION),9.99,538190,"Trek Industries, Inc",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Desperate Times,4.99,513920,Yokcos,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Zack,3.99,531168,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
MegaTagmension Blanc Deluxe Pack,9.99,530580,"IDEA FACTORY,COMPILE HEART,TAMSOFT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
MegaTagmension Blanc + Neptune VS Zombies (Neptunia),29.99,496810,"IDEA FACTORY,COMPILE HEART,TAMSOFT",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016.0
Mythic Victory Arena,4.99,514200,Resi,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Kokoro,3.99,531150,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Hitomi,3.99,531151,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Leifang,3.99,531152,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: La Mariposa,3.99,531154,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Tina,3.99,531153,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Christie,3.99,531156,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Mila,3.99,531157,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
Alien,4.99,524270,"NetherRealm Studios,High Voltage Software,QLOC",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
Sentry Knight Tactics,4.99,503210,"Tyler Myers,Justin Wolf",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016.0
DEAD OR ALIVE 5 Last Round: Core Fighters Character: Helena,3.99,531155,"Team NINJA,KOEI TECMO GAMES CO., LTD.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
PooShooter: Toilet Invaders,0.0,514390,FergaTroid Studios,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
WarFire Original Video Games Soundtrack,1.99,538640,D&amp;K Games Studio,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Pixel Puzzles Ultimate - Puzzle Pack: Japan,3.99,467260,DL Softworks,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2016.0
Avalon Legends Solitaire 2,9.99,512260,Anawiki Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Anno 2205™ - Frontiers,11.99,526040,Blue Byte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2016.0
FourChords Guitar Karaoke - 5 Seconds of Summer Song Pack,7.99,537820,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Country Gents I Song Pack,4.99,537825,Musopia,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Lana Del Rey Song Pack,4.99,537826,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Rod Stewart Song Pack,2.99,537828,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Atlas Reactor – All Freelancers Pack,29.99,535200,Trion Worlds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2016.0
Zup!,0.99,533300,Quiet River,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Carrie Underwood Song Pack,7.99,537824,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Platro,0.99,527550,Hipix Studio,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Breaking Benjamin Song Pack,2.99,537823,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Snow Patrol Song Pack,2.99,537829,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - The Rolling Stones Song Pack,4.99,537271,Musopia,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Unclaimed World - Soundtrack,5.99,536790,Refactored Games OÜ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016.0
Mystic Destinies: Serendipity of Aeons - Shinji Epilogue,1.99,508160,Aeon Dream Studios,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Spellforge,6.99,489080,Paper Scorpion Co.,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016.0
Secrets of Me,15.99,505070,Dogenzaka Lab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
SparkDimension,9.99,477140,Asixa,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Madonna Song Pack,2.99,537827,Musopia,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - blink-182 Song Pack,2.99,537821,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Bugspeed Collider,4.99,415900,Skelefactor,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
Industry Manager: Future Technologies,19.99,384080,astragon Entertainment GmbH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Alicia Keys Song Pack,2.99,538821,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - EDM Essentials I Song Pack,4.99,538825,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Brad Paisley Song Pack,2.99,538822,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
The Revenge of Johnny Bonasera,3.99,536430,Rafael García,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Ed Sheeran Song Pack,4.99,538824,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
FourChords Guitar Karaoke - Volbeat Song Pack,2.99,538831,Musopia,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016.0
Star Vikings Forever,9.99,488960,Rogue Snail,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016.0
Super Happy Singh,3.99,535290,Shrimasis Rout,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0
The Silver Case: The Extra Contents,14.99,533570,"GRASSHOPPER MANUFACTURE INC.,AGM PLAYISM",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
"Duke Grabowski, Mighty Swashbuckler",1.99,472420,Venture Moon Industries,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
FaceRig Political Avatars,0.0,420828,Holotech Studios,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016.0
Best in Show Solitaire,4.99,514780,Graduate Games,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016.0
Iron Sea - Lost Land,2.99,515171,Creobit,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016.0
Frog Climbers,6.99,485120,TeamCrew,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016.0
